Work center,Total de QTY
MX_INY06,1997.0
MX_INY23,404.0
MX-MET02,931.0
,-249.0
MX_INY25,712.0
MX_INY19,1373.0
MX-MET04,2008.0
MX_INY20,1688.0
MX_ASM16,1915.0
MX_INY07,2282.0
MX-MET03,3844.0
MX_INY13,1767.0
MX_INY30,1956.0
MX_INY01,1890.0
MX_ASM21,333.0
MX_ASM19,1204.0
MX_INY17,320.0
MX_INY24,1719.0
MX_ASM20,280.0
MX_INY29,1251.0
MX_INY22,0.0
MX_INY31,409.0
MX_INY27,524.0
MX_INY12,4605.0
MX_INY28,573.0
MX_ASMRF,1.0
MX-MET06,460.0
MX_INY03,-23.0
MX_ASM13,816.0
MX_INY05,-99.0
MX_INY21,-6.0
MX_INY18,692.0
MX_INY10,-8.0
MX_INY15,-18.0
